Timestamp,Perlakuan,Alasan,Frekuensi,daun bawang,merica,telur,pok cai,nugget or sausage.,seledri,kerupuk/emping,cheese stick,kacang,telor,kaldu,kremesan,cai po (lobak cina),kulit pangsit,cakue/cakwe/youtiao,kecap,cheesestick,sambal,bawang goreng,usus ayam,kulit ayam,telur puyuh,hati ayam,ampela/rempela/empedal ayam,Harga,Jenis Kelamin,Usia
4/14/2015 1:03:27,Tidak diaduk,,2,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,7000,Laki-laki,18
4/13/2015 22:41:08,Diaduk,Supaya tidak cepat encer,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,9000,Perempuan,18
4/13/2015 22:59:16,Tidak diaduk,Lebih kerasa rasa asli buburnya.,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,10000,Perempuan,18
4/13/2015 22:15:40,Diaduk,lucu,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,5000,Perempuan,19
4/13/2015 22:29:55,Diaduk,,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,7000,Laki-laki,19
4/13/2015 22:28:21,Tidak diaduk,"Mengaduk bubur sama seperti merusak karya seorang seniman, seperti merusak balance dunia yang sudah diatur dengan posisinya masing2 yang sempurna",Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,8000,Laki-laki,19
4/13/2015 22:50:56,Diaduk,Supaya semuanya nyampur jadi satu rasa.,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,10000,Laki-laki,19
4/15/2015 3:00:41,Diaduk,BIAR BUMBUNYA NYAMPUR,3,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,10000,Laki-laki,19
4/21/2015 17:44:06,Diaduk,bubur harus diaduk. #teamdiaduk,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,10000,Laki-laki,19
4/14/2015 8:49:31,Tidak diaduk,"kalo diaduk, bubur terlihat seperti sampah dan tidak enak dilihat. dapat mengurangi mood makan.",Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,12000,Perempuan,19
4/14/2015 18:44:28,Tidak diaduk,kalau diaduk jd encer dan bikin enek,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,5000,Perempuan,20
4/13/2015 22:37:44,Diaduk,"biar bumbunya nyampur (kecuali kalo udah dikasih kecap manis, tapi sebelum itu selalu mastiin supaya buburnya gak dikasih kecap manis! >:) )",Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,8000,Perempuan,20
4/14/2015 13:37:07,Diaduk,,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,9000,Perempuan,20
4/13/2015 22:59:37,Diaduk,"Mana ada rasanya kalau ga diaduk, lagian kalau ga di aduk, toppingnya abis duluan coy",Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,10000,Laki-laki,20
4/13/2015 23:29:53,Tidak diaduk,males ngaduk,1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,10000,Laki-laki,20
4/14/2015 15:36:59,Diaduk,"gue suka sensasi pedes gtu, dan sambalnya kalo diaduk yah gk berasa pedesnya ke seluruh permukaan itu bubur",3,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,10000,Laki-laki,20
4/13/2015 22:32:48,Diaduk,"Tidak higienis ketika memakan kerupuk menggunakan tangan. Biasanya kerupuk bubur ayam yang berwarna lembayung-keputihan ukurannya lebih besar dari mulut saya, jadi pilihannya kalau tidak di aduk, ya.. dihancurkan",Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,12000,Laki-laki,20
4/13/2015 23:37:41,Diaduk,semua merata di tiap suapan,5,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,15000,Laki-laki,20
4/14/2015 5:16:53,Tidak diaduk,"Agar bentuknya tetap terjaga dan tak mencair, enek kalau udh keaduk",Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,5000,Perempuan,21
4/13/2015 22:03:42,Diaduk,,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,6000,Perempuan,21
4/14/2015 13:59:04,Diaduk,Supaya bumbunya merata,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,7000,Perempuan,21
4/13/2015 22:00:49,Diaduk,Rasanya lebih berbaur!,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,8000,Perempuan,21
4/14/2015 0:00:37,Diaduk,"Untuk mendapatkan cita rasa dan campuran yang mirip tapi berbeda di setiap suapan, memberikan sensasi kejutan",Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,9000,Laki-laki,21
4/14/2015 0:02:51,Diaduk,biar kecampur kuahnya,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,9000,Laki-laki,21
4/14/2015 14:24:40,Tidak diaduk,karena kalau diaduk rasanya aneh,3,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,9000,Laki-laki,21
4/13/2015 22:50:43,Tidak diaduk,suka rasa yang dinamis + kalo mangnya kreatif nata toppingnya jadi bentuk lucu gitu,1,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,10000,Perempuan,21
